7.532678594	8.792660123	1
7.532675594	8.792662123	1
7.532675594	8.792662123	1
7.532692594	8.792642123	1
7.532270671	8.792617768	5
7.532672594	8.792660123	1
7.532693594	8.792645123	1
7.532693594	8.792645123	1
7.532287671	8.792634768	5
7.532287671	8.792634768	5
7.532669594	8.792661123	1
7.532685594	8.792650123	1
7.532667594	8.792663123	1
7.532662594	8.792660123	1
7.532662594	8.792660123	1
7.532662594	8.792660123	1
7.532399161	8.79256122	4
7.532423594	8.792609123	4
7.532607594	8.792452123	3
7.532607594	8.792452123	3
7.532607594	8.792452123	3
7.532333671	8.792609768	5
7.532575594	8.792458123	3
7.532574594	8.792458123	3
7.532684594	8.792649123	1
7.532673594	8.792653123	1
7.532592594	8.792451123	3
7.532665594	8.792662123	1
7.532276671	8.792640768	5
7.532621594	8.792457123	3
7.532621594	8.792457123	3
7.532660594	8.792659123	1
7.532670594	8.792651123	1
7.532273671	8.792636768	5
7.532273671	8.792636768	5
7.532284671	8.792611768	5
7.532648594	8.792509123	2
7.532302671	8.792629768	5
7.532302671	8.792629768	5
7.532694594	8.792647123	1
7.532654594	8.792655123	1
7.532283671	8.792642768	5
7.532712594	8.792637123	1
7.532648594	8.792654123	1
7.532703594	8.792643123	1
7.532703594	8.792643123	1
7.532654594	8.792660123	1
7.532654594	8.792660123	1
7.532678594	8.792648123	1
7.532429594	8.792577123	4
7.532700594	8.792646123	1
7.532685594	8.792646123	1
7.532697594	8.792646123	1
7.532705594	8.792638123	1
7.532691594	8.792647123	1
7.532683594	8.792645123	1
7.532630594	8.792528123	2
7.532592594	8.792460123	3
7.532705594	8.792635123	1
7.532282671	8.792643768	5
7.532280671	8.792640768	5
7.532659594	8.792507123	2
7.532652594	8.792535123	2
7.532652594	8.792535123	2
7.532669594	8.792647123	1
7.532670594	8.792659123	1
7.532295671	8.792616768	5
7.532293671	8.792625768	5
7.532658594	8.792653123	1
7.532671594	8.792656123	1
7.532662594	8.792507123	2
7.532320671	8.792640768	5
7.532321671	8.792614768	5
7.532708594	8.792647123	1
7.532708594	8.792647123	1
7.532330671	8.792641768	5
7.532309671	8.792645768	5
7.532705594	8.792649123	1
7.532706594	8.792649123	1
7.532387854	8.792587123	4
7.532551594	8.792410123	3
7.532551594	8.792410123	3
7.532551594	8.792410123	3
